City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,riberalta,-10.9833,-66.1,31.11,70,75,3.6,BO,1698516793
298,montes claros,-16.735,-43.8617,28.8,55,100,3.46,BR,1698516793
299,la ronge,55.1001,-105.2842,-3.86,68,100,2.57,CA,1698516793
300,newman,37.3138,-121.0208,16.69,33,38,5.36,US,1698516794
301,sao joao da barra,-21.6403,-41.0511,27.05,87,100,6.6,BR,1698516708
302,al mijlad,11.0333,27.7333,28.4,52,78,3.85,SD,1698516623
303,labytnangi,66.6572,66.4183,-11.72,89,69,1.94,RU,1698516794
304,choele choel,-39.2667,-65.6833,27.1,14,100,14.35,AR,1698516794
305,la'ie,21.6477,-157.9253,26.98,87,26,0.45,US,1698516795
306,plastun,44.7561,136.2939,0.84,57,0,2.79,RU,1698516795
307,middelburg,-25.7751,29.4648,21.06,40,92,3.61,ZA,1698516795
308,zhezqazghan,47.7833,67.7667,6.68,83,99,3.16,KZ,1698516795
309,santana,-0.0583,-51.1817,35.1,46,20,6.17,BR,1698516796
310,bandar lampung,-5.4254,105.258,23.56,85,42,1.36,ID,1698516796
311,bemidji,47.4736,-94.8803,-1.64,85,75,5.14,US,1698516586
312,qamdo,31.1667,97.2333,-4.37,51,4,0.79,CN,1698516796
313,kuta,-8.7233,115.1723,25.97,88,40,1.03,ID,1698516796
314,yanbu,24.0891,38.0637,32.02,62,20,4.12,SA,1698516721
315,meadow lake,34.8014,-106.5436,21.02,34,0,4.52,US,1698516770
316,chui,-33.6971,-53.4616,23.4,67,45,2.64,UY,1698516797
317,lazaro cardenas,17.9583,-102.2,29.5,67,98,1.18,MX,1698516797
318,alofi,-19.0595,-169.9187,23.72,70,68,8.77,NU,1698516797
319,lubny,50.0163,32.9969,9.96,77,100,8.47,UA,1698516798
320,atafu village,-8.5421,-172.5159,28.43,74,38,4.21,TK,1698516798
321,haiku-pauwela,20.9219,-156.3051,26.01,73,40,3.58,US,1698516798
322,mugia,43.1041,-9.2179,16.06,78,100,10.72,ES,1698516798
323,anqing,30.5092,117.0506,20.54,65,79,0.81,CN,1698516656
324,kuanda,56.3161,116.0806,-3.38,82,100,4.33,RU,1698516799
325,korem,12.5058,39.5228,13.57,84,98,2.12,ET,1698516799
326,whitehorse,60.7161,-135.0538,-6.57,93,100,4.12,CA,1698516799
327,geraldton,-28.7667,114.6,15.23,77,1,6.69,AU,1698516800
328,okhotsk,59.3833,143.3,-3.95,83,99,5.75,RU,1698516800
329,zalingei,12.9096,23.4741,29.73,31,74,3.7,SD,1698516800
330,lautoka,-17.6167,177.4667,22.92,88,20,1.03,FJ,1698516801
331,raduzhny,62.0961,77.475,-10.86,91,76,3.43,RU,1698516801
332,bel ombre,-4.6167,55.4167,27.34,80,94,4.12,SC,1698516801
333,chulakkurgan,43.765,69.1814,17.47,51,100,4.19,KZ,1698516801
334,rundu,-17.9333,19.7667,27.88,30,50,0.91,NA,1698516802
335,xinyuan,37.3,99.0,-2.68,42,2,1.68,CN,1698516541
336,luderitz,-26.6481,15.1594,18.73,53,0,13.12,NA,1698516802
337,lubang,13.8584,120.124,28.42,75,18,8.34,PH,1698516802
338,san miguel,13.4833,-88.1833,29.69,71,58,1.78,SV,1698516802
339,qaqortoq,60.7167,-46.0333,0.8,77,20,0.73,GL,1698516803
340,boende,-0.2167,20.8667,23.9,81,92,0.55,CD,1698516803
341,juba,4.8517,31.5825,22.18,93,96,1.84,SS,1698516803
342,virac,13.6333,124.2167,22.44,87,12,3.25,PH,1698516804
343,barrouallie,13.2333,-61.2667,29.79,74,20,1.54,VC,1698516804
344,badr hunayn,23.7829,38.7905,30.03,54,58,3.82,SA,1698516804
345,alaghsas,17.0187,8.0168,31.94,9,0,3.09,NE,1698516804
346,mejit,10.2753,170.8646,28.49,73,95,8.45,MH,1698516805
347,taroudant,30.4703,-8.877,21.42,68,83,6.1,MA,1698516805
348,hasaki,35.7333,140.8333,12.22,62,12,6.74,JP,1698516805
349,port lincoln,-34.7333,135.8667,9.79,77,22,0.93,AU,1698516805
350,i-n-salah,27.1935,2.4607,30.12,14,23,1.39,DZ,1698516805
351,jalqani,12.4486,34.2186,26.35,70,85,3.58,SD,1698516806
352,san rafael,-34.6177,-68.3301,27.98,14,2,7.1,AR,1698516579
353,lewiston orchards,46.3804,-116.9754,3.73,73,0,0.0,US,1698516806
354,ebon,4.582,168.6964,28.07,75,93,4.86,MH,1698516806
355,male,4.1748,73.5089,27.52,80,91,3.83,MV,1698516664
356,gaiman,-43.2897,-65.4929,22.82,24,100,17.67,AR,1698516807
357,saint-philippe,-21.3585,55.7679,24.77,84,43,3.04,RE,1698516807
358,fort stockton,30.894,-102.8793,28.2,59,0,6.69,US,1698516585
359,san antonio de pale,-1.4014,5.6325,26.32,78,10,3.79,GQ,1698516807
